2023-05-15 14:49:01.795 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:49:01.796 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 14:49:01.796 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 14:49:01.796 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 14:49:01.796 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 14:49:01.796 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 14:49:01.796 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:49:01.797 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 14:49:01.797 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 14:49:01.907 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 14:49:01.907 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 14:49:42.775 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 37426 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 14:49:42.778 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 14:49:43.607 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 1.096 seconds (JVM running for 1.401)
2023-05-15 14:49:43.608 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:49:43.609 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 14:49:43.609 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 14:49:43.609 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 14:49:43.609 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 14:49:43.609 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 14:49:43.609 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:49:43.610 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 14:49:43.610 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 14:49:43.710 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 14:49:43.710 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 14:52:40.915 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 37797 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 14:52:40.916 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 14:52:41.379 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 0.738 seconds (JVM running for 1.059)
2023-05-15 14:52:41.381 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:52:41.381 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 14:52:41.381 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 14:52:41.381 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 14:52:41.381 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 14:52:41.381 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 14:52:41.381 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:52:41.382 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 14:52:41.382 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 14:52:41.490 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 14:52:41.490 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 14:54:22.010 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 38055 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 14:54:22.012 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 14:54:22.759 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 1.016 seconds (JVM running for 1.327)
2023-05-15 14:54:22.761 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:54:22.762 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 14:54:22.762 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 14:54:22.762 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 14:54:22.762 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 14:54:22.762 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 14:54:22.762 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:54:22.763 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 14:54:22.763 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 14:54:22.868 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 14:54:22.868 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
